partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PBAL6061-CX900T2-1/2S14,"14""",900,AL-6061,"2-1/2""",2.5,5.1,98.4,137.76,743,818
PB304-CX900T3S14,"14""",900,304,"3""",3,5.55,350.09,490.13,2761,3038
PBSA36-CX900T3S14,"14""",900,SA-36,"3""",3,1.87,335.11,469.15,918,1010
PBSA516-70-CX900T3S14,"14""",900,SA-516-70,"3""",3,2.18,335.11,469.15,1063,1170
PB304L-CX900T3S14,"14""",900,304L,"3""",3,6.01,350.09,490.13,2986,3285
PB316L-CX900T3S14,"14""",900,316L,"3""",3,7.48,354.06,495.68,3748,4123
PBAL6061-CX900T3S14,"14""",900,AL-6061,"3""",3,5.1,118.08,165.31,884,973
PB304-CX900T11GAS16,"16""",900,304,11 Gauge,0.1196,5.55,16.98,23.77,177,195
PBSA36-CX900T11GAS16,"16""",900,SA-36,11 Gauge,0.1196,1.87,16.25,22.75,87,96
PBSA516-70-CX900T11GAS16,"16""",900,SA-516-70,11 Gauge,0.1196,2.18,16.25,22.75,95,105
PB304L-CX900T11GAS16,"16""",900,304L,11 Gauge,0.1196,6.01,16.98,23.77,188,207
PB316L-CX900T11GAS16,"16""",900,316L,11 Gauge,0.1196,7.48,17.17,24.04,225,248
PBAL6061-CX900T11GAS16,"16""",900,AL-6061,11 Gauge,0.1196,5.1,5.73,8.02,86,95
PB304-CX900T1/8S16,"16""",900,304,"1/8""",0.125,5.55,17.75,24.85,183,202
PBSA36-CX900T1/8S16,"16""",900,SA-36,"1/8""",0.125,1.87,16.99,23.79,89,98
PBSA516-70-CX900T1/8S16,"16""",900,SA-516-70,"1/8""",0.125,2.18,16.99,23.79,97,107
PB304L-CX900T1/8S16,"16""",900,304L,"1/8""",0.125,6.01,17.75,24.85,194,214
PB316L-CX900T1/8S16,"16""",900,316L,"1/8""",0.125,7.48,17.95,25.13,233,257
PBAL6061-CX900T1/8S16,"16""",900,AL-6061,"1/8""",0.125,5.1,5.99,8.39,88,97
PB304-CX900T3/16S16,"16""",900,304,"3/16""",0.1875,5.55,26.62,37.27,252,278
PBSA36-CX900T3/16S16,"16""",900,SA-36,"3/16""",0.1875,1.87,25.48,35.67,112,124
PBSA516-70-CX900T3/16S16,"16""",900,SA-516-70,"3/16""",0.1875,2.18,25.48,35.67,123,136
PB304L-CX900T3/16S16,"16""",900,304L,"3/16""",0.1875,6.01,26.62,37.27,269,296
PB316L-CX900T3/16S16,"16""",900,316L,"3/16""",0.1875,7.48,26.92,37.69,327,360
PBAL6061-CX900T3/16S16,"16""",900,AL-6061,"3/16""",0.1875,5.1,8.98,12.57,109,120
PB304-CX900T1/4S16,"16""",900,304,"1/4""",0.25,5.55,35.49,49.69,321,354
PBSA36-CX900T1/4S16,"16""",900,SA-36,"1/4""",0.25,1.87,33.97,47.56,134,148
PBSA516-70-CX900T1/4S16,"16""",900,SA-516-70,"1/4""",0.25,2.18,33.97,47.56,149,164
PB304L-CX900T1/4S16,"16""",900,304L,"1/4""",0.25,6.01,35.49,49.69,344,379
PB316L-CX900T1/4S16,"16""",900,316L,"1/4""",0.25,7.48,35.9,50.26,421,464
PBAL6061-CX900T1/4S16,"16""",900,AL-6061,"1/4""",0.25,5.1,11.97,16.76,130,143
PB304-CX900T5/16S16,"16""",900,304,"5/16""",0.3125,5.55,44.37,62.12,390,430
PBSA36-CX900T5/16S16,"16""",900,SA-36,"5/16""",0.3125,1.87,42.47,59.46,156,172
PBSA516-70-CX900T5/16S16,"16""",900,SA-516-70,"5/16""",0.3125,2.18,42.47,59.46,175,193
PB304L-CX900T5/16S16,"16""",900,304L,"5/16""",0.3125,6.01,44.37,62.12,418,460
PB316L-CX900T5/16S16,"16""",900,316L,"5/16""",0.3125,7.48,44.87,62.82,515,567
PBAL6061-CX900T5/16S16,"16""",900,AL-6061,"5/16""",0.3125,5.1,14.96,20.94,152,168
PB304-CX900T3/8S16,"16""",900,304,"3/8""",0.375,5.55,53.24,74.54,459,505
PBSA36-CX900T3/8S16,"16""",900,SA-36,"3/8""",0.375,1.87,50.96,71.34,178,196
PBSA516-70-CX900T3/8S16,"16""",900,SA-516-70,"3/8""",0.375,2.18,50.96,71.34,200,221
PB304L-CX900T3/8S16,"16""",900,304L,"3/8""",0.375,6.01,53.24,74.54,493,543
PB316L-CX900T3/8S16,"16""",900,316L,"3/8""",0.375,7.48,53.84,75.38,609,670
PBAL6061-CX900T3/8S16,"16""",900,AL-6061,"3/8""",0.375,5.1,17.96,25.14,173,191
PB304-CX900T1/2S16,"16""",900,304,"1/2""",0.5,5.55,70.99,99.39,597,657
PBSA36-CX900T1/2S16,"16""",900,SA-36,"1/2""",0.5,1.87,67.95,95.13,223,246
PBSA516-70-CX900T1/2S16,"16""",900,SA-516-70,"1/2""",0.5,2.18,67.95,95.13,252,278
PB304L-CX900T1/2S16,"16""",900,304L,"1/2""",0.5,6.01,70.99,99.39,642,707
PB316L-CX900T1/2S16,"16""",900,316L,"1/2""",0.5,7.48,71.79,100.51,797,877
PBAL6061-CX900T1/2S16,"16""",900,AL-6061,"1/2""",0.5,5.1,23.94,33.52,216,238
PB304-CX900T5/8S16,"16""",900,304,"5/8""",0.625,5.55,88.73,124.22,734,808
PBSA36-CX900T5/8S16,"16""",900,SA-36,"5/8""",0.625,1.87,84.94,118.92,267,294
PBSA516-70-CX900T5/8S16,"16""",900,SA-516-70,"5/8""",0.625,2.18,84.94,118.92,304,335
PB304L-CX900T5/8S16,"16""",900,304L,"5/8""",0.625,6.01,88.73,124.22,791,871
PB316L-CX900T5/8S16,"16""",900,316L,"5/8""",0.625,7.48,89.74,125.64,985,1084
PBAL6061-CX900T5/8S16,"16""",900,AL-6061,"5/8""",0.625,5.1,29.93,41.9,259,285
PB304-CX900T3/4S16,"16""",900,304,"3/4""",0.75,5.55,106.48,149.07,872,960
