partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PB304-CX150T3/4S1/2,"1/2""",150,304,"3/4""",0.75,5.5,1.32,1.85,45,50
PBSA36-CX150T3/4S1/2,"1/2""",150,SA-36,"3/4""",0.75,1.85,1.26,1.76,38,42
PBSA516-70-CX150T3/4S1/2,"1/2""",150,SA-516-70,"3/4""",0.75,2.15,1.26,1.76,39,43
PB304L-CX150T3/4S1/2,"1/2""",150,304L,"3/4""",0.75,5.95,1.32,1.85,46,51
PB316L-CX150T3/4S1/2,"1/2""",150,316L,"3/4""",0.75,7.4,1.33,1.86,49,54
PBAL6061-CX150T3/4S1/2,"1/2""",150,AL-6061,"3/4""",0.75,5,0.44,0.62,38,42
PB304-CX150T7/8S1/2,"1/2""",150,304,"7/8""",0.875,5.5,1.53,2.14,47,52
PBSA36-CX150T7/8S1/2,"1/2""",150,SA-36,"7/8""",0.875,1.85,1.47,2.06,39,43
PBSA516-70-CX150T7/8S1/2,"1/2""",150,SA-516-70,"7/8""",0.875,2.15,1.47,2.06,39,43
PB304L-CX150T7/8S1/2,"1/2""",150,304L,"7/8""",0.875,5.95,1.53,2.14,48,53
PB316L-CX150T7/8S1/2,"1/2""",150,316L,"7/8""",0.875,7.4,1.55,2.17,51,57
PBAL6061-CX150T7/8S1/2,"1/2""",150,AL-6061,"7/8""",0.875,5,0.52,0.73,38,42
PB304-CX150T1S1/2,"1/2""",150,304,"1""",1,5.5,1.75,2.45,48,53
PBSA36-CX150T1S1/2,"1/2""",150,SA-36,"1""",1,1.85,1.68,2.35,39,43
PBSA516-70-CX150T1S1/2,"1/2""",150,SA-516-70,"1""",1,2.15,1.68,2.35,40,44
PB304L-CX150T1S1/2,"1/2""",150,304L,"1""",1,5.95,1.75,2.45,49,54
PB316L-CX150T1S1/2,"1/2""",150,316L,"1""",1,7.4,1.77,2.48,53,59
PBAL6061-CX150T1S1/2,"1/2""",150,AL-6061,"1""",1,5,0.59,0.83,39,43
PB304-CX150T1-1/8S1/2,"1/2""",150,304,"1-1/8""",1.125,5.5,1.97,2.76,50,56
PBSA36-CX150T1-1/8S1/2,"1/2""",150,SA-36,"1-1/8""",1.125,1.85,1.89,2.65,40,44
PBSA516-70-CX150T1-1/8S1/2,"1/2""",150,SA-516-70,"1-1/8""",1.125,2.15,1.89,2.65,41,46
PB304L-CX150T1-1/8S1/2,"1/2""",150,304L,"1-1/8""",1.125,5.95,1.97,2.76,51,57
PB316L-CX150T1-1/8S1/2,"1/2""",150,316L,"1-1/8""",1.125,7.4,2,2.8,56,62
PBAL6061-CX150T1-1/8S1/2,"1/2""",150,AL-6061,"1-1/8""",1.125,5,0.67,0.94,40,44
PB304-CX150T1-1/4S1/2,"1/2""",150,304,"1-1/4""",1.25,5.5,2.19,3.07,52,58
PBSA36-CX150T1-1/4S1/2,"1/2""",150,SA-36,"1-1/4""",1.25,1.85,2.1,2.94,40,44
PBSA516-70-CX150T1-1/4S1/2,"1/2""",150,SA-516-70,"1-1/4""",1.25,2.15,2.1,2.94,41,46
PB304L-CX150T1-1/4S1/2,"1/2""",150,304L,"1-1/4""",1.25,5.95,2.19,3.07,53,59
PB316L-CX150T1-1/4S1/2,"1/2""",150,316L,"1-1/4""",1.25,7.4,2.22,3.11,58,64
PBAL6061-CX150T1-1/4S1/2,"1/2""",150,AL-6061,"1-1/4""",1.25,5,0.74,1.04,40,44
PB304-CX150T1-3/8S1/2,"1/2""",150,304,"1-3/8""",1.375,5.5,2.41,3.37,53,59
PBSA36-CX150T1-3/8S1/2,"1/2""",150,SA-36,"1-3/8""",1.375,1.85,2.31,3.23,41,46
PBSA516-70-CX150T1-3/8S1/2,"1/2""",150,SA-516-70,"1-3/8""",1.375,2.15,2.31,3.23,42,47
PB304L-CX150T1-3/8S1/2,"1/2""",150,304L,"1-3/8""",1.375,5.95,2.41,3.37,55,61
PB316L-CX150T1-3/8S1/2,"1/2""",150,316L,"1-3/8""",1.375,7.4,2.44,3.42,60,66
PBAL6061-CX150T1-3/8S1/2,"1/2""",150,AL-6061,"1-3/8""",1.375,5,0.81,1.13,40,44
PB304-CX150T1-1/2S1/2,"1/2""",150,304,"1-1/2""",1.5,5.5,2.63,3.68,55,61
PBSA36-CX150T1-1/2S1/2,"1/2""",150,SA-36,"1-1/2""",1.5,1.85,2.52,3.53,41,46
PBSA516-70-CX150T1-1/2S1/2,"1/2""",150,SA-516-70,"1-1/2""",1.5,2.15,2.52,3.53,42,47
PB304L-CX150T1-1/2S1/2,"1/2""",150,304L,"1-1/2""",1.5,5.95,2.63,3.68,57,63
PB316L-CX150T1-1/2S1/2,"1/2""",150,316L,"1-1/2""",1.5,7.4,2.66,3.72,62,69
PBAL6061-CX150T1-1/2S1/2,"1/2""",150,AL-6061,"1-1/2""",1.5,5,0.89,1.25,41,46
PB304-CX150T1-5/8S1/2,"1/2""",150,304,"1-5/8""",1.625,5.5,2.85,3.99,57,63
PBSA36-CX150T1-5/8S1/2,"1/2""",150,SA-36,"1-5/8""",1.625,1.85,2.73,3.82,42,47
PBSA516-70-CX150T1-5/8S1/2,"1/2""",150,SA-516-70,"1-5/8""",1.625,2.15,2.73,3.82,43,48
PB304L-CX150T1-5/8S1/2,"1/2""",150,304L,"1-5/8""",1.625,5.95,2.85,3.99,59,65
PB316L-CX150T1-5/8S1/2,"1/2""",150,316L,"1-5/8""",1.625,7.4,2.88,4.03,65,72
PBAL6061-CX150T1-5/8S1/2,"1/2""",150,AL-6061,"1-5/8""",1.625,5,0.96,1.34,42,47
PB304-CX150T1-3/4S1/2,"1/2""",150,304,"1-3/4""",1.75,5.5,3.07,4.3,58,64
PBSA36-CX150T1-3/4S1/2,"1/2""",150,SA-36,"1-3/4""",1.75,1.85,2.94,4.12,42,47
PBSA516-70-CX150T1-3/4S1/2,"1/2""",150,SA-516-70,"1-3/4""",1.75,2.15,2.94,4.12,44,49
PB304L-CX150T1-3/4S1/2,"1/2""",150,304L,"1-3/4""",1.75,5.95,3.07,4.3,60,66
PB316L-CX150T1-3/4S1/2,"1/2""",150,316L,"1-3/4""",1.75,7.4,3.1,4.34,67,74
PBAL6061-CX150T1-3/4S1/2,"1/2""",150,AL-6061,"1-3/4""",1.75,5,1.04,1.46,42,47
PB304-CX150T1-7/8S1/2,"1/2""",150,304,"1-7/8""",1.875,5.5,3.29,4.61,60,66
PBSA36-CX150T1-7/8S1/2,"1/2""",150,SA-36,"1-7/8""",1.875,1.85,3.15,4.41,43,48
PBSA516-70-CX150T1-7/8S1/2,"1/2""",150,SA-516-70,"1-7/8""",1.875,2.15,3.15,4.41,44,49
PB304L-CX150T1-7/8S1/2,"1/2""",150,304L,"1-7/8""",1.875,5.95,3.29,4.61,62,69
PB316L-CX150T1-7/8S1/2,"1/2""",150,316L,"1-7/8""",1.875,7.4,3.33,4.66,69,76
