partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PBAL6061-CX300T1-3/4S6,"6""",300,AL-6061,"1-3/4""",1.75,5,16.13,22.58,148,163
PB304-CX300T1-7/8S6,"6""",300,304,"1-7/8""",1.875,5.5,51.24,71.74,429,472
PBSA36-CX300T1-7/8S6,"6""",300,SA-36,"1-7/8""",1.875,1.85,49.05,68.67,162,179
PBSA516-70-CX300T1-7/8S6,"6""",300,SA-516-70,"1-7/8""",1.875,2.15,49.05,68.67,182,201
PB304L-CX300T1-7/8S6,"6""",300,304L,"1-7/8""",1.875,5.95,51.24,71.74,462,509
PB316L-CX300T1-7/8S6,"6""",300,316L,"1-7/8""",1.875,7.4,51.83,72.56,572,630
PBAL6061-CX300T1-7/8S6,"6""",300,AL-6061,"1-7/8""",1.875,5,17.28,24.19,156,172
PB304-CX300T2S6,"6""",300,304,"2""",2,5.5,54.66,76.52,456,502
PBSA36-CX300T2S6,"6""",300,SA-36,"2""",2,1.85,52.32,73.25,170,188
PBSA516-70-CX300T2S6,"6""",300,SA-516-70,"2""",2,2.15,52.32,73.25,192,212
PB304L-CX300T2S6,"6""",300,304L,"2""",2,5.95,54.66,76.52,490,539
PB316L-CX300T2S6,"6""",300,316L,"2""",2,7.4,55.28,77.39,608,669
PBAL6061-CX300T2S6,"6""",300,AL-6061,"2""",2,5,18.44,25.82,164,181
PB304-CX300T2-1/4S6,"6""",300,304,"2-1/4""",2.25,5.5,61.49,86.09,508,559
PBSA36-CX300T2-1/4S6,"6""",300,SA-36,"2-1/4""",2.25,1.85,58.86,82.4,187,206
PBSA516-70-CX300T2-1/4S6,"6""",300,SA-516-70,"2-1/4""",2.25,2.15,58.86,82.4,212,234
PB304L-CX300T2-1/4S6,"6""",300,304L,"2-1/4""",2.25,5.95,61.49,86.09,547,602
PB316L-CX300T2-1/4S6,"6""",300,316L,"2-1/4""",2.25,7.4,62.19,87.07,679,747
PBAL6061-CX300T2-1/4S6,"6""",300,AL-6061,"2-1/4""",2.25,5,20.74,29.04,180,199
PB304-CX300T2-1/2S6,"6""",300,304,"2-1/2""",2.5,5.5,68.32,95.65,561,618
PBSA36-CX300T2-1/2S6,"6""",300,SA-36,"2-1/2""",2.5,1.85,65.4,91.56,204,225
PBSA516-70-CX300T2-1/2S6,"6""",300,SA-516-70,"2-1/2""",2.5,2.15,65.4,91.56,232,256
PB304L-CX300T2-1/2S6,"6""",300,304L,"2-1/2""",2.5,5.95,68.32,95.65,604,665
PB316L-CX300T2-1/2S6,"6""",300,316L,"2-1/2""",2.5,7.4,69.1,96.74,751,827
PBAL6061-CX300T2-1/2S6,"6""",300,AL-6061,"2-1/2""",2.5,5,23.04,32.26,196,216
PB304-CX300T3S6,"6""",300,304,"3""",3,5.5,81.99,114.79,666,733
PBSA36-CX300T3S6,"6""",300,SA-36,"3""",3,1.85,78.48,109.87,238,262
PBSA516-70-CX300T3S6,"6""",300,SA-516-70,"3""",3,2.15,78.48,109.87,271,299
PB304L-CX300T3S6,"6""",300,304L,"3""",3,5.95,81.99,114.79,718,790
PB316L-CX300T3S6,"6""",300,316L,"3""",3,7.4,82.92,116.09,894,984
PBAL6061-CX300T3S6,"6""",300,AL-6061,"3""",3,5,27.65,38.71,228,251
PB304-CX300T11GAS8,"8""",300,304,11 Gauge,0.1196,5.5,4.91,6.87,73,81
PBSA36-CX300T11GAS8,"8""",300,SA-36,11 Gauge,0.1196,1.85,4.7,6.58,47,52
PBSA516-70-CX300T11GAS8,"8""",300,SA-516-70,11 Gauge,0.1196,2.15,4.7,6.58,49,54
PB304L-CX300T11GAS8,"8""",300,304L,11 Gauge,0.1196,5.95,4.91,6.87,76,84
PB316L-CX300T11GAS8,"8""",300,316L,11 Gauge,0.1196,7.4,4.97,6.96,86,95
PBAL6061-CX300T11GAS8,"8""",300,AL-6061,11 Gauge,0.1196,5,1.66,2.32,46,51
PB304-CX300T1/8S8,"8""",300,304,"1/8""",0.125,5.5,5.13,7.18,74,82
PBSA36-CX300T1/8S8,"8""",300,SA-36,"1/8""",0.125,1.85,4.91,6.87,48,53
PBSA516-70-CX300T1/8S8,"8""",300,SA-516-70,"1/8""",0.125,2.15,4.91,6.87,50,56
PB304L-CX300T1/8S8,"8""",300,304L,"1/8""",0.125,5.95,5.13,7.18,78,86
PB316L-CX300T1/8S8,"8""",300,316L,"1/8""",0.125,7.4,5.19,7.27,89,98
PBAL6061-CX300T1/8S8,"8""",300,AL-6061,"1/8""",0.125,5,1.73,2.42,47,52
PB304-CX300T3/16S8,"8""",300,304,"3/16""",0.1875,5.5,7.7,10.78,94,104
PBSA36-CX300T3/16S8,"8""",300,SA-36,"3/16""",0.1875,1.85,7.37,10.32,54,60
PBSA516-70-CX300T3/16S8,"8""",300,SA-516-70,"3/16""",0.1875,2.15,7.37,10.32,57,63
PB304L-CX300T3/16S8,"8""",300,304L,"3/16""",0.1875,5.95,7.7,10.78,99,109
PB316L-CX300T3/16S8,"8""",300,316L,"3/16""",0.1875,7.4,7.79,10.91,116,128
PBAL6061-CX300T3/16S8,"8""",300,AL-6061,"3/16""",0.1875,5,2.6,3.64,53,59
PB304-CX300T1/4S8,"8""",300,304,"1/4""",0.25,5.5,10.27,14.38,114,126
PBSA36-CX300T1/4S8,"8""",300,SA-36,"1/4""",0.25,1.85,9.83,13.76,60,66
PBSA516-70-CX300T1/4S8,"8""",300,SA-516-70,"1/4""",0.25,2.15,9.83,13.76,64,71
PB304L-CX300T1/4S8,"8""",300,304L,"1/4""",0.25,5.95,10.27,14.38,120,132
PB316L-CX300T1/4S8,"8""",300,316L,"1/4""",0.25,7.4,10.38,14.53,142,157
PBAL6061-CX300T1/4S8,"8""",300,AL-6061,"1/4""",0.25,5,3.46,4.84,59,65
PB304-CX300T5/16S8,"8""",300,304,"5/16""",0.3125,5.5,12.83,17.96,134,148
PBSA36-CX300T5/16S8,"8""",300,SA-36,"5/16""",0.3125,1.85,12.28,17.19,67,74
PBSA516-70-CX300T5/16S8,"8""",300,SA-516-70,"5/16""",0.3125,2.15,12.28,17.19,72,80
PB304L-CX300T5/16S8,"8""",300,304L,"5/16""",0.3125,5.95,12.83,17.96,142,157
PB316L-CX300T5/16S8,"8""",300,316L,"5/16""",0.3125,7.4,12.98,18.17,169,186
PBAL6061-CX300T5/16S8,"8""",300,AL-6061,"5/16""",0.3125,5,4.33,6.06,65,72
PB304-CX300T3/8S8,"8""",300,304,"3/8""",0.375,5.5,15.4,21.56,153,169
PBSA36-CX300T3/8S8,"8""",300,SA-36,"3/8""",0.375,1.85,14.74,20.64,73,81
PBSA516-70-CX300T3/8S8,"8""",300,SA-516-70,"3/8""",0.375,2.15,14.74,20.64,79,87
PB304L-CX300T3/8S8,"8""",300,304L,"3/8""",0.375,5.95,15.4,21.56,163,180
PB316L-CX300T3/8S8,"8""",300,316L,"3/8""",0.375,7.4,15.57,21.8,196,216
PBAL6061-CX300T3/8S8,"8""",300,AL-6061,"3/8""",0.375,5,5.19,7.27,71,79
PB304-CX300T1/2S8,"8""",300,304,"1/2""",0.5,5.5,20.53,28.74,193,213
PBSA36-CX300T1/2S8,"8""",300,SA-36,"1/2""",0.5,1.85,19.65,27.51,86,95
PBSA516-70-CX300T1/2S8,"8""",300,SA-516-70,"1/2""",0.5,2.15,19.65,27.51,94,104
PB304L-CX300T1/2S8,"8""",300,304L,"1/2""",0.5,5.95,20.53,28.74,206,227
PB316L-CX300T1/2S8,"8""",300,316L,"1/2""",0.5,7.4,20.77,29.08,250,275
PBAL6061-CX300T1/2S8,"8""",300,AL-6061,"1/2""",0.5,5,6.93,9.7,83,92
PB304-CX300T5/8S8,"8""",300,304,"5/8""",0.625,5.5,25.67,35.94,233,257
PBSA36-CX300T5/8S8,"8""",300,SA-36,"5/8""",0.625,1.85,24.57,34.4,98,108
PBSA516-70-CX300T5/8S8,"8""",300,SA-516-70,"5/8""",0.625,2.15,24.57,34.4,109,120
PB304L-CX300T5/8S8,"8""",300,304L,"5/8""",0.625,5.95,25.67,35.94,249,274
PB316L-CX300T5/8S8,"8""",300,316L,"5/8""",0.625,7.4,25.96,36.34,304,335
PBAL6061-CX300T5/8S8,"8""",300,AL-6061,"5/8""",0.625,5,8.66,12.12,95,105
PB304-CX300T3/4S8,"8""",300,304,"3/4""",0.75,5.5,30.8,43.12,272,300
PBSA36-CX300T3/4S8,"8""",300,SA-36,"3/4""",0.75,1.85,29.48,41.27,111,123
PBSA516-70-CX300T3/4S8,"8""",300,SA-516-70,"3/4""",0.75,2.15,29.48,41.27,124,137
PB304L-CX300T3/4S8,"8""",300,304L,"3/4""",0.75,5.95,30.8,43.12,291,321
PB316L-CX300T3/4S8,"8""",300,316L,"3/4""",0.75,7.4,31.15,43.61,358,394
PBAL6061-CX300T3/4S8,"8""",300,AL-6061,"3/4""",0.75,5,10.39,14.55,108,119
PB304-CX300T7/8S8,"8""",300,304,"7/8""",0.875,5.5,35.93,50.3,311,343
PBSA36-CX300T7/8S8,"8""",300,SA-36,"7/8""",0.875,1.85,34.39,48.15,124,137
PBSA516-70-CX300T7/8S8,"8""",300,SA-516-70,"7/8""",0.875,2.15,34.39,48.15,138,152
PB304L-CX300T7/8S8,"8""",300,304L,"7/8""",0.875,5.95,35.93,50.3,334,368
PB316L-CX300T7/8S8,"8""",300,316L,"7/8""",0.875,7.4,36.34,50.88,411,453
PBAL6061-CX300T7/8S8,"8""",300,AL-6061,"7/8""",0.875,5,12.12,16.97,120,132
PB304-CX300T1S8,"8""",300,304,"1""",1,5.5,41.06,57.48,351,387
PBSA36-CX300T1S8,"8""",300,SA-36,"1""",1,1.85,39.31,55.03,137,151
PBSA516-70-CX300T1S8,"8""",300,SA-516-70,"1""",1,2.15,39.31,55.03,153,169
PB304L-CX300T1S8,"8""",300,304L,"1""",1,5.95,41.06,57.48,377,415
PB316L-CX300T1S8,"8""",300,316L,"1""",1,7.4,41.53,58.14,465,512
PBAL6061-CX300T1S8,"8""",300,AL-6061,"1""",1,5,13.85,19.39,132,146
PB304-CX300T1-1/8S8,"8""",300,304,"1-1/8""",1.125,5.5,46.2,64.68,391,431
PBSA36-CX300T1-1/8S8,"8""",300,SA-36,"1-1/8""",1.125,1.85,44.22,61.91,149,164
PBSA516-70-CX300T1-1/8S8,"8""",300,SA-516-70,"1-1/8""",1.125,2.15,44.22,61.91,168,185
PB304L-CX300T1-1/8S8,"8""",300,304L,"1-1/8""",1.125,5.95,46.2,64.68,420,463
PB316L-CX300T1-1/8S8,"8""",300,316L,"1-1/8""",1.125,7.4,46.72,65.41,519,571
PBAL6061-CX300T1-1/8S8,"8""",300,AL-6061,"1-1/8""",1.125,5,15.58,21.81,144,159
PB304-CX300T1-1/4S8,"8""",300,304,"1-1/4""",1.25,5.5,51.33,71.86,430,474
PBSA36-CX300T1-1/4S8,"8""",300,SA-36,"1-1/4""",1.25,1.85,49.13,68.78,162,179
PBSA516-70-CX300T1-1/4S8,"8""",300,SA-516-70,"1-1/4""",1.25,2.15,49.13,68.78,183,202
PB304L-CX300T1-1/4S8,"8""",300,304L,"1-1/4""",1.25,5.95,51.33,71.86,462,509
PB316L-CX300T1-1/4S8,"8""",300,316L,"1-1/4""",1.25,7.4,51.91,72.67,573,631
PBAL6061-CX300T1-1/4S8,"8""",300,AL-6061,"1-1/4""",1.25,5,17.31,24.23,156,172
PB304-CX300T1-3/8S8,"8""",300,304,"1-3/8""",1.375,5.5,56.46,79.04,470,517
PBSA36-CX300T1-3/8S8,"8""",300,SA-36,"1-3/8""",1.375,1.85,54.05,75.67,175,193
PBSA516-70-CX300T1-3/8S8,"8""",300,SA-516-70,"1-3/8""",1.375,2.15,54.05,75.67,198,218
PB304L-CX300T1-3/8S8,"8""",300,304L,"1-3/8""",1.375,5.95,56.46,79.04,505,556
PB316L-CX300T1-3/8S8,"8""",300,316L,"1-3/8""",1.375,7.4,57.11,79.95,626,689
PBAL6061-CX300T1-3/8S8,"8""",300,AL-6061,"1-3/8""",1.375,5,19.04,26.66,168,185
PB304-CX300T1-1/2S8,"8""",300,304,"1-1/2""",1.5,5.5,61.6,86.24,509,560
PBSA36-CX300T1-1/2S8,"8""",300,SA-36,"1-1/2""",1.5,1.85,58.96,82.54,188,207
PBSA516-70-CX300T1-1/2S8,"8""",300,SA-516-70,"1-1/2""",1.5,2.15,58.96,82.54,212,234
PB304L-CX300T1-1/2S8,"8""",300,304L,"1-1/2""",1.5,5.95,61.6,86.24,548,603
PB316L-CX300T1-1/2S8,"8""",300,316L,"1-1/2""",1.5,7.4,62.3,87.22,680,749
PBAL6061-CX300T1-1/2S8,"8""",300,AL-6061,"1-1/2""",1.5,5,20.78,29.09,180,199
PB304-CX300T1-5/8S8,"8""",300,304,"1-5/8""",1.625,5.5,66.73,93.42,549,604
PBSA36-CX300T1-5/8S8,"8""",300,SA-36,"1-5/8""",1.625,1.85,63.88,89.43,200,221
PBSA516-70-CX300T1-5/8S8,"8""",300,SA-516-70,"1-5/8""",1.625,2.15,63.88,89.43,227,250
PB304L-CX300T1-5/8S8,"8""",300,304L,"1-5/8""",1.625,5.95,66.73,93.42,591,651
PB316L-CX300T1-5/8S8,"8""",300,316L,"1-5/8""",1.625,7.4,67.49,94.49,734,808
PBAL6061-CX300T1-5/8S8,"8""",300,AL-6061,"1-5/8""",1.625,5,22.51,31.51,192,212
PB304-CX300T1-3/4S8,"8""",300,304,"1-3/4""",1.75,5.5,71.86,100.6,588,647
PBSA36-CX300T1-3/4S8,"8""",300,SA-36,"1-3/4""",1.75,1.85,68.79,96.31,213,235
PBSA516-70-CX300T1-3/4S8,"8""",300,SA-516-70,"1-3/4""",1.75,2.15,68.79,96.31,242,267
PB304L-CX300T1-3/4S8,"8""",300,304L,"1-3/4""",1.75,5.95,71.86,100.6,633,697
PB316L-CX300T1-3/4S8,"8""",300,316L,"1-3/4""",1.75,7.4,72.68,101.75,788,867
PBAL6061-CX300T1-3/4S8,"8""",300,AL-6061,"1-3/4""",1.75,5,24.24,33.94,205,226
PB304-CX300T1-7/8S8,"8""",300,304,"1-7/8""",1.875,5.5,77,107.8,628,691
PBSA36-CX300T1-7/8S8,"8""",300,SA-36,"1-7/8""",1.875,1.85,73.7,103.18,226,249
PBSA516-70-CX300T1-7/8S8,"8""",300,SA-516-70,"1-7/8""",1.875,2.15,73.7,103.18,257,283
PB304L-CX300T1-7/8S8,"8""",300,304L,"1-7/8""",1.875,5.95,77,107.8,676,744
PB316L-CX300T1-7/8S8,"8""",300,316L,"1-7/8""",1.875,7.4,77.87,109.02,842,927
PBAL6061-CX300T1-7/8S8,"8""",300,AL-6061,"1-7/8""",1.875,5,25.97,36.36,217,239
PB304-CX300T2S8,"8""",300,304,"2""",2,5.5,82.13,114.98,667,734
PBSA36-CX300T2S8,"8""",300,SA-36,"2""",2,1.85,78.62,110.07,238,262
PBSA516-70-CX300T2S8,"8""",300,SA-516-70,"2""",2,2.15,78.62,110.07,271,299
PB304L-CX300T2S8,"8""",300,304L,"2""",2,5.95,82.13,114.98,719,791
PB316L-CX300T2S8,"8""",300,316L,"2""",2,7.4,83.06,116.28,895,985
PBAL6061-CX300T2S8,"8""",300,AL-6061,"2""",2,5,27.7,38.78,229,252
PB304-CX300T2-1/4S8,"8""",300,304,"2-1/4""",2.25,5.5,92.39,129.35,746,821
PBSA36-CX300T2-1/4S8,"8""",300,SA-36,"2-1/4""",2.25,1.85,88.44,123.82,264,291
PBSA516-70-CX300T2-1/4S8,"8""",300,SA-516-70,"2-1/4""",2.25,2.15,88.44,123.82,301,332
PB304L-CX300T2-1/4S8,"8""",300,304L,"2-1/4""",2.25,5.95,92.39,129.35,804,885
PB316L-CX300T2-1/4S8,"8""",300,316L,"2-1/4""",2.25,7.4,93.44,130.82,1003,1104
PBAL6061-CX300T2-1/4S8,"8""",300,AL-6061,"2-1/4""",2.25,5,31.16,43.62,253,279
PB304-CX300T2-1/2S8,"8""",300,304,"2-1/2""",2.5,5.5,102.66,143.72,825,908
PBSA36-CX300T2-1/2S8,"8""",300,SA-36,"2-1/2""",2.5,1.85,98.27,137.58,289,318
PBSA516-70-CX300T2-1/2S8,"8""",300,SA-516-70,"2-1/2""",2.5,2.15,98.27,137.58,331,365
PB304L-CX300T2-1/2S8,"8""",300,304L,"2-1/2""",2.5,5.95,102.66,143.72,890,980
PB316L-CX300T2-1/2S8,"8""",300,316L,"2-1/2""",2.5,7.4,103.83,145.36,1111,1223
PBAL6061-CX300T2-1/2S8,"8""",300,AL-6061,"2-1/2""",2.5,5,34.63,48.48,277,305
PB304-CX300T3S8,"8""",300,304,"3""",3,5.5,123.19,172.47,983,1082
PBSA36-CX300T3S8,"8""",300,SA-36,"3""",3,1.85,117.92,165.09,340,375
PBSA516-70-CX300T3S8,"8""",300,SA-516-70,"3""",3,2.15,117.92,165.09,390,430
PB304L-CX300T3S8,"8""",300,304L,"3""",3,5.95,123.19,172.47,1061,1168
PB316L-CX300T3S8,"8""",300,316L,"3""",3,7.4,124.59,174.43,1326,1459
PBAL6061-CX300T3S8,"8""",300,AL-6061,"3""",3,5,41.55,58.17,326,359
PB304-CX300T11GAS10,"10""",300,304,11 Gauge,0.1196,5.5,6.76,9.46,87,96
PBSA36-CX300T11GAS10,"10""",300,SA-36,11 Gauge,0.1196,1.85,6.48,9.07,52,58
PBSA516-70-CX300T11GAS10,"10""",300,SA-516-70,11 Gauge,0.1196,2.15,6.48,9.07,54,60
PB304L-CX300T11GAS10,"10""",300,304L,11 Gauge,0.1196,5.95,6.76,9.46,91,101
PB316L-CX300T11GAS10,"10""",300,316L,11 Gauge,0.1196,7.4,6.84,9.58,106,117
PBAL6061-CX300T11GAS10,"10""",300,AL-6061,11 Gauge,0.1196,5,2.28,3.19,51,57
PB304-CX300T1/8S10,"10""",300,304,"1/8""",0.125,5.5,7.07,9.9,89,98
PBSA36-CX300T1/8S10,"10""",300,SA-36,"1/8""",0.125,1.85,6.77,9.48,52,58
PBSA516-70-CX300T1/8S10,"10""",300,SA-516-70,"1/8""",0.125,2.15,6.77,9.48,55,61
PB304L-CX300T1/8S10,"10""",300,304L,"1/8""",0.125,5.95,7.07,9.9,94,104
PB316L-CX300T1/8S10,"10""",300,316L,"1/8""",0.125,7.4,7.15,10.01,109,120
PBAL6061-CX300T1/8S10,"10""",300,AL-6061,"1/8""",0.125,5,2.38,3.33,51,57
PB304-CX300T3/16S10,"10""",300,304,"3/16""",0.1875,5.5,10.61,14.85,117,129
PBSA36-CX300T3/16S10,"10""",300,SA-36,"3/16""",0.1875,1.85,10.15,14.21,61,68
PBSA516-70-CX300T3/16S10,"10""",300,SA-516-70,"3/16""",0.1875,2.15,10.15,14.21,65,72
PB304L-CX300T3/16S10,"10""",300,304L,"3/16""",0.1875,5.95,10.61,14.85,123,136
PB316L-CX300T3/16S10,"10""",300,316L,"3/16""",0.1875,7.4,10.73,15.02,146,161
PBAL6061-CX300T3/16S10,"10""",300,AL-6061,"3/16""",0.1875,5,3.58,5.01,60,66
PB304-CX300T1/4S10,"10""",300,304,"1/4""",0.25,5.5,14.14,19.8,144,159
PBSA36-CX300T1/4S10,"10""",300,SA-36,"1/4""",0.25,1.85,13.54,18.96,70,77
PBSA516-70-CX300T1/4S10,"10""",300,SA-516-70,"1/4""",0.25,2.15,13.54,18.96,76,84
PB304L-CX300T1/4S10,"10""",300,304L,"1/4""",0.25,5.95,14.14,19.8,153,169
PB316L-CX300T1/4S10,"10""",300,316L,"1/4""",0.25,7.4,14.3,20.02,183,202
PBAL6061-CX300T1/4S10,"10""",300,AL-6061,"1/4""",0.25,5,4.77,6.68,68,75
PB304-CX300T5/16S10,"10""",300,304,"5/16""",0.3125,5.5,17.68,24.75,171,189
PBSA36-CX300T5/16S10,"10""",300,SA-36,"5/16""",0.3125,1.85,16.92,23.69,79,87
PBSA516-70-CX300T5/16S10,"10""",300,SA-516-70,"5/16""",0.3125,2.15,16.92,23.69,86,95
PB304L-CX300T5/16S10,"10""",300,304L,"5/16""",0.3125,5.95,17.68,24.75,182,201
PB316L-CX300T5/16S10,"10""",300,316L,"5/16""",0.3125,7.4,17.88,25.03,220,243
PBAL6061-CX300T5/16S10,"10""",300,AL-6061,"5/16""",0.3125,5,5.96,8.34,77,85
PB304-CX300T3/8S10,"10""",300,304,"3/8""",0.375,5.5,21.21,29.69,198,218
PBSA36-CX300T3/8S10,"10""",300,SA-36,"3/8""",0.375,1.85,20.3,28.42,87,96
PBSA516-70-CX300T3/8S10,"10""",300,SA-516-70,"3/8""",0.375,2.15,20.3,28.42,96,106
PB304L-CX300T3/8S10,"10""",300,304L,"3/8""",0.375,5.95,21.21,29.69,212,234
PB316L-CX300T3/8S10,"10""",300,316L,"3/8""",0.375,7.4,21.45,30.03,257,283
PBAL6061-CX300T3/8S10,"10""",300,AL-6061,"3/8""",0.375,5,7.15,10.01,85,94
PB304-CX300T1/2S10,"10""",300,304,"1/2""",0.5,5.5,28.28,39.59,253,279
PBSA36-CX300T1/2S10,"10""",300,SA-36,"1/2""",0.5,1.85,27.07,37.9,105,116
PBSA516-70-CX300T1/2S10,"10""",300,SA-516-70,"1/2""",0.5,2.15,27.07,37.9,116,128
PB304L-CX300T1/2S10,"10""",300,304L,"1/2""",0.5,5.95,28.28,39.59,270,297
PB316L-CX300T1/2S10,"10""",300,316L,"1/2""",0.5,7.4,28.6,40.04,331,365
PBAL6061-CX300T1/2S10,"10""",300,AL-6061,"1/2""",0.5,5,9.54,13.36,102,113
PB304-CX300T5/8S10,"10""",300,304,"5/8""",0.625,5.5,35.35,49.49,307,338
PBSA36-CX300T5/8S10,"10""",300,SA-36,"5/8""",0.625,1.85,33.84,47.38,123,136
PBSA516-70-CX300T5/8S10,"10""",300,SA-516-70,"5/8""",0.625,2.15,33.84,47.38,137,151
PB304L-CX300T5/8S10,"10""",300,304L,"5/8""",0.625,5.95,35.35,49.49,329,362
PB316L-CX300T5/8S10,"10""",300,316L,"5/8""",0.625,7.4,35.75,50.05,405,446
PBAL6061-CX300T5/8S10,"10""",300,AL-6061,"5/8""",0.625,5,11.92,16.69,118,130
PB304-CX300T3/4S10,"10""",300,304,"3/4""",0.75,5.5,42.42,59.39,361,398
PBSA36-CX300T3/4S10,"10""",300,SA-36,"3/4""",0.75,1.85,40.61,56.85,140,154
PBSA516-70-CX300T3/4S10,"10""",300,SA-516-70,"3/4""",0.75,2.15,40.61,56.85,157,173
PB304L-CX300T3/4S10,"10""",300,304L,"3/4""",0.75,5.95,42.42,59.39,388,427
PB316L-CX300T3/4S10,"10""",300,316L,"3/4""",0.75,7.4,42.9,60.06,479,527
PBAL6061-CX300T3/4S10,"10""",300,AL-6061,"3/4""",0.75,5,14.31,20.03,135,149
PB304-CX300T7/8S10,"10""",300,304,"7/8""",0.875,5.5,49.49,69.29,416,458
PBSA36-CX300T7/8S10,"10""",300,SA-36,"7/8""",0.875,1.85,47.38,66.33,158,174
PBSA516-70-CX300T7/8S10,"10""",300,SA-516-70,"7/8""",0.875,2.15,47.38,66.33,177,195
PB304L-CX300T7/8S10,"10""",300,304L,"7/8""",0.875,5.95,49.49,69.29,447,492
PB316L-CX300T7/8S10,"10""",300,316L,"7/8""",0.875,7.4,50.06,70.08,553,609
PBAL6061-CX300T7/8S10,"10""",300,AL-6061,"7/8""",0.875,5,16.69,23.37,152,168
PB304-CX300T1S10,"10""",300,304,"1""",1,5.5,56.56,79.18,470,517
PBSA36-CX300T1S10,"10""",300,SA-36,"1""",1,1.85,54.14,75.8,175,193
PBSA516-70-CX300T1S10,"10""",300,SA-516-70,"1""",1,2.15,54.14,75.8,198,218
PB304L-CX300T1S10,"10""",300,304L,"1""",1,5.95,56.56,79.18,506,557
PB316L-CX300T1S10,"10""",300,316L,"1""",1,7.4,57.21,80.09,628,691
PBAL6061-CX300T1S10,"10""",300,AL-6061,"1""",1,5,19.08,26.71,168,185
PB304-CX300T1-1/8S10,"10""",300,304,"1-1/8""",1.125,5.5,63.63,89.08,525,578
PBSA36-CX300T1-1/8S10,"10""",300,SA-36,"1-1/8""",1.125,1.85,60.91,85.27,193,213
PBSA516-70-CX300T1-1/8S10,"10""",300,SA-516-70,"1-1/8""",1.125,2.15,60.91,85.27,218,240
PB304L-CX300T1-1/8S10,"10""",300,304L,"1-1/8""",1.125,5.95,63.63,89.08,565,622
PB316L-CX300T1-1/8S10,"10""",300,316L,"1-1/8""",1.125,7.4,64.36,90.1,702,773
PBAL6061-CX300T1-1/8S10,"10""",300,AL-6061,"1-1/8""",1.125,5,21.46,30.04,185,204
PB304-CX300T1-1/4S10,"10""",300,304,"1-1/4""",1.25,5.5,70.7,98.98,579,637
PBSA36-CX300T1-1/4S10,"10""",300,SA-36,"1-1/4""",1.25,1.85,67.68,94.75,210,232
PBSA516-70-CX300T1-1/4S10,"10""",300,SA-516-70,"1-1/4""",1.25,2.15,67.68,94.75,239,263
PB304L-CX300T1-1/4S10,"10""",300,304L,"1-1/4""",1.25,5.95,70.7,98.98,624,687
PB316L-CX300T1-1/4S10,"10""",300,316L,"1-1/4""",1.25,7.4,71.51,100.11,776,854
PBAL6061-CX300T1-1/4S10,"10""",300,AL-6061,"1-1/4""",1.25,5,23.85,33.39,202,223
PB304-CX300T1-3/8S10,"10""",300,304,"1-3/8""",1.375,5.5,77.77,108.88,634,698
PBSA36-CX300T1-3/8S10,"10""",300,SA-36,"1-3/8""",1.375,1.85,74.45,104.23,228,251
PBSA516-70-CX300T1-3/8S10,"10""",300,SA-516-70,"1-3/8""",1.375,2.15,74.45,104.23,259,285
PB304L-CX300T1-3/8S10,"10""",300,304L,"1-3/8""",1.375,5.95,77.77,108.88,683,752
PB316L-CX300T1-3/8S10,"10""",300,316L,"1-3/8""",1.375,7.4,78.66,110.12,850,936
PBAL6061-CX300T1-3/8S10,"10""",300,AL-6061,"1-3/8""",1.375,5,26.23,36.72,218,240
PB304-CX300T1-1/2S10,"10""",300,304,"1-1/2""",1.5,5.5,84.84,118.78,688,757
PBSA36-CX300T1-1/2S10,"10""",300,SA-36,"1-1/2""",1.5,1.85,81.22,113.71,245,270
PBSA516-70-CX300T1-1/2S10,"10""",300,SA-516-70,"1-1/2""",1.5,2.15,81.22,113.71,279,307
PB304L-CX300T1-1/2S10,"10""",300,304L,"1-1/2""",1.5,5.95,84.84,118.78,742,817
PB316L-CX300T1-1/2S10,"10""",300,316L,"1-1/2""",1.5,7.4,85.81,120.13,924,1017
PBAL6061-CX300T1-1/2S10,"10""",300,AL-6061,"1-1/2""",1.5,5,28.62,40.07,235,259
PB304-CX300T1-5/8S10,"10""",300,304,"1-5/8""",1.625,5.5,91.92,128.69,743,818
PBSA36-CX300T1-5/8S10,"10""",300,SA-36,"1-5/8""",1.625,1.85,87.98,123.17,263,290
PBSA516-70-CX300T1-5/8S10,"10""",300,SA-516-70,"1-5/8""",1.625,2.15,87.98,123.17,300,330
PB304L-CX300T1-5/8S10,"10""",300,304L,"1-5/8""",1.625,5.95,91.92,128.69,801,882
PB316L-CX300T1-5/8S10,"10""",300,316L,"1-5/8""",1.625,7.4,92.96,130.14,998,1098
PBAL6061-CX300T1-5/8S10,"10""",300,AL-6061,"1-5/8""",1.625,5,31,43.4,252,278
PB304-CX300T1-3/4S10,"10""",300,304,"1-3/4""",1.75,5.5,98.99,138.59,797,877
PBSA36-CX300T1-3/4S10,"10""",300,SA-36,"1-3/4""",1.75,1.85,94.75,132.65,280,308
PBSA516-70-CX300T1-3/4S10,"10""",300,SA-516-70,"1-3/4""",1.75,2.15,94.75,132.65,320,352
PB304L-CX300T1-3/4S10,"10""",300,304L,"1-3/4""",1.75,5.95,98.99,138.59,859,945
